                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88219,                 3.4234,                 1.4955,                0.00341,                0.92857,                0.24096,                 0.1417,                 1.0837,                 4.4265,                 1.7535,                 0.0002,                 0.0002,                 0.0002
                      1,                0.65872,                 2.6896,                 1.3259,                0.36866,                0.41667,                0.38749,                0.22372,                 1.1161,                 3.6863,                 2.0197,             0.00039376,             0.00039376,             0.00039376
                      2,                0.74747,                 2.0665,                 1.3919,                0.63565,                0.57891,                0.56317,                0.28601,                 1.6911,                  4.093,                 2.3817,              0.0005709,              0.0005709,              0.0005709
                      3,                0.73904,                 1.7842,                 1.3691,                0.56779,                0.54329,                0.60628,                0.35679,                 1.4242,                 3.9311,                 2.2102,              0.0007314,              0.0007314,              0.0007314
                      4,                0.71348,                 1.6914,                 1.3482,                0.85762,                0.68156,                0.88127,                0.61953,                0.89016,                 2.8833,                 1.7056,              0.0008416,              0.0008416,              0.0008416
                      5,                0.70801,                 1.5363,                 1.3442,                0.67149,                0.77836,                0.78694,                0.55341,                0.98796,                 2.2646,                 1.7065,              0.0008416,              0.0008416,              0.0008416
                      6,                0.66633,                 1.3694,                 1.2889,                0.64318,                0.80853,                0.78209,                0.55663,                 0.9581,                 2.3514,                 1.6268,               0.000802,               0.000802,               0.000802
                      7,                0.68045,                 1.3906,                  1.295,                0.78491,                0.63259,                0.79922,                  0.494,                 1.3093,                 2.7347,                 1.8071,              0.0007624,              0.0007624,              0.0007624
                      8,                0.65435,                 1.2474,                 1.2801,                 0.7799,                0.75704,                0.83288,                 0.5777,                 1.2369,                 2.4827,                 2.1534,              0.0007228,              0.0007228,              0.0007228
                      9,                0.63614,                  1.249,                 1.2684,                0.81941,                0.83223,                0.88219,                 0.6761,                0.98881,                 2.2631,                 1.5359,              0.0006832,              0.0006832,              0.0006832
                     10,                0.61322,                 1.1901,                 1.2437,                0.89852,                0.70709,                0.86323,                0.62793,                 1.2597,                 2.0595,                 1.7036,              0.0006436,              0.0006436,              0.0006436
                     11,                0.62772,                 1.1235,                 1.2336,                0.76425,                0.70238,                0.65557,                0.47188,                0.98325,                 2.6261,                 1.5212,               0.000604,               0.000604,               0.000604
                     12,                0.60009,                 1.1166,                 1.2204,                0.77788,                0.85084,                0.90217,                0.66518,                0.99568,                 1.6764,                 1.5448,              0.0005644,              0.0005644,              0.0005644
                     13,                0.56296,                 1.0607,                 1.2201,                 0.7902,                0.77733,                0.84393,                0.65172,                0.92982,                 1.7003,                 1.5555,              0.0005248,              0.0005248,              0.0005248
                     14,                0.55721,                0.99637,                  1.208,                0.85025,                0.94841,                0.91179,                0.69333,                0.91549,                 1.4721,                 1.4592,              0.0004852,              0.0004852,              0.0004852
                     15,                0.47556,                 1.3858,                 1.2646,                0.77685,                0.92443,                0.86291,                0.65893,                 1.0756,                 1.7018,                 1.8258,              0.0004456,              0.0004456,              0.0004456
                     16,                0.45013,                 1.1772,                 1.2357,                0.87771,                0.84377,                0.93361,                0.71914,                 0.9642,                 1.6995,                 1.5536,               0.000406,               0.000406,               0.000406
                     17,                0.43533,                 1.0957,                 1.2339,                0.93398,                0.94314,                0.95166,                0.74156,                0.86072,                 1.3334,                 1.4374,              0.0003664,              0.0003664,              0.0003664
                     18,                0.41295,                 1.0054,                 1.1963,                0.95448,                0.95137,                0.95744,                0.78014,                0.77662,                 1.2522,                 1.3344,              0.0003268,              0.0003268,              0.0003268
                     19,                0.40005,                0.98849,                 1.1747,                0.93408,                0.90972,                0.93837,                0.74599,                0.90167,                 1.3084,                 1.5153,              0.0002872,              0.0002872,              0.0002872
                     20,                0.36918,                0.95635,                  1.144,                 0.9429,                0.92903,                0.95364,                0.75494,                0.88689,                 1.3232,                 1.4459,              0.0002476,              0.0002476,              0.0002476
                     21,                0.35813,                0.92249,                  1.123,                0.94493,                0.92147,                0.95363,                0.75396,                0.89856,                 1.2442,                 1.4893,               0.000208,               0.000208,               0.000208
                     22,                0.32599,                0.85938,                 1.1108,                0.94248,                0.88912,                0.95106,                0.77249,                0.77152,                 1.1311,                 1.3438,              0.0001684,              0.0001684,              0.0001684
                     23,                0.32685,                0.81936,                 1.1084,                0.93336,                0.91481,                0.95532,                0.79352,                  0.751,                 1.1162,                 1.3164,              0.0001288,              0.0001288,              0.0001288
                     24,                0.31761,                 0.7932,                 1.0872,                0.91002,                 0.9487,                0.95371,                0.79157,                 0.7773,                 1.1195,                 1.3357,               8.92e-05,               8.92e-05,               8.92e-05
